"041a";"0001";"3A";"6";"Ringtone: Luna";"on";"off"
"041a";"0001";"3A";"7";"Ringtone: Mania";"on";"off"
"041a";"0001";"3B";"0";"Ringtone: Moonlit-Haze";"on";"off"
"041a";"0001";"3B";"1";"Ringtone: Night Life";"on";"off"
"041a";"0001";"3B";"2";"Ringtone: Vib-Dot";"on";"off"
"041a";"0001";"3B";"3";"Ringtone: Vib-Dot-Dash";"on";"off"
"041a";"0001";"3B";"4";"Ringtone: Vib-Dash-Dot";"on";"off"
"041a";"0001";"3B";"5";"Ringtone: Vib-Dot-Dash";"on";"off"
"041a";"0001";"3B";"6";"Ringtone: Vib-Pulse";"on";"off"
"041a";"0001";"3D";"1";"Menu: Receipt (SMS)";"on";"off"
"041a";"0001";"3D";"3";"SMS chars counter (from 450 to 0)";"on";"off"
"041a";"0001";"3D";"7";"Enables sms email gateway";"on";"off" 
"041a";"0001";"3E";"5";"Unknown New Menu (black line)";"on";"off"
"041a";"0001";"3F";"6";"Menu: Call Barring (Security)";"on";"off"
"041a";"0001";"40";"4";"Provider at 3rd line of screen from SIM card";"on";"off"
"041a";"0001";"40";"6";"Enables Alltel firmware to keep 100+ texts ";"on";"off" 
"041a";"0001";"41";"0";"Menu: Datebook (C550)";"off";"on"
"041a";"0001";"42";"5";"Enables Other Info>ERI Version ";"on";"off" 
"041a";"0001";"43";"0";"Menu: Java App Loader";"on";"off"
"041a";"0001";"43";"4";"Menu: Network Band - Auto(C350)";"on";"off"
"041a";"0001";"43";"5";"Menu: Network Band - Auto(C550)";"on";"off"
"041a";"0001";"44";"4";"Menu: Cell Man., Net. Messaging, Field Test Status";"on";"off"
"041a";"0001";"44";"5";"Menu: Test Mode (Engineering Menu)";"on";"off"
"041a";"0001";"44";"7";"Full Engineering Menu";"on";"off"
"041a";"0001";"45";"1";"Enables Other Info>SMS,EMS,FAX Info";"on";"off" 
"041a";"0001";"45";"7";"SMS Count from 140 to 450";"450";"150"
"041a";"0001";"46";"0";"Custom Animation on Startup (must be set in seem 0207/0209)";"on";"off"
"041a";"0001";"48";"1";"My phone number at display";"on";"off"
"041a";"0001";"49";"5";"Disable / Set Delivery Report/notification default to NO";"off;"on"
"041a";"0001";"4A";"1";"Enables Messaging>Options>Relist ";"on";"off" 
"041a";"0001";"4B";"0";"GPS Indicator Check for CrossHair, Uncheck for Satelite;"Crosshair";"Satellite"
"041a";"0001";"4B";"1";"Enables Create Message in Messaging";"on";"off" 
"041a";"0001";"4B";"6";"Provider in 2nd line of screen (from SIM or from network)";"SIM";"network"
"041a";"0001";"51";"5";"Menu: Motomixer";"on";"off"
"041a";"0001";"51";"7";"Menu: Themes";"on";"off"
"041a";"0001";"52";"6";"Menu: AIM";"on";"off"
"041a";"0001";"53";"2";"Enables advanced Location Menu (On and Off) Part 1";"off;"on" 
"041a";"0001";"53";"3";"Enables advanced Loaction Menu (On and Off) Part 2";"on;"off" 
"041a";"0001";"54";"2";"Menu: Mobile QQ";"on";"off"
"041a";"0001";"55";"0";"Menu: Network Band";"on";"off"
"041a";"0001";"55";"2";"Date & Time Autoupdate";"on";"off"
"041a";"0001";"5A";"6";"Menu: Saved pages (Internet)";"on";"off"
"041a";"0001";"5A";"7";"Full File Access In QPST";"on";"off"
"041a";"0001";"5B";"0";"Menu: Web Summary";"on";"off"
"041a";"0001";"5B";"2";"Menu: History-1";"on";"off"
"041a";"0001";"5B";"3";"Menu: History-2";"on";"off"
"041a";"0001";"5C";"0";"Menu: Go to URL-1";"on";"off"
"041a";"0001";"5C";"1";"Menu: Go to URL-2";"on";"off"
"041a";"0001";"5C";"2";"Menu: Go to URL-3";"on";"off"
"041a";"0001";"5D";"0";"Enables Menu>Settings>Themes ";"on";"off" 
"041a";"0001";"5D";"5";"Enables switch storage device";"on";"off" 
"041a";"0001";"5E";"6";"Enable Shutter tone "None" in Pictures Setup ";"on";"off" 
"041a";"0001";"5F";"5";"Menu Items: Camera > Picture Setup > Counter";"on";"off"
"041a";"0001";"5F";"6";"Menu Items: Video Setup > Allow Alert";"on";"off"
"041a";"0001";"5F";"7";"Menu Items: Video Setup > Video Quality";"on";"off"
"041a";"0001";"60";"0";"3rd line text if active GPRS exists";"on";"off"
"041a";"0001";"60";"1";"Menu: Java DNS-IP - show";"on";"off"
"041a";"0001";"60";"2";"Menu: Java DNS-IP - edit";"on";"off"
"041a";"0001";"60";"4";"Menu Items: Camera/Video > Setup > Exposure";"on";"off"
"041a";"0001";"62";"2";"Enables MMS Message Delivery Notification Menu - on";"on";"off" 
"041a";"0001";"62";"3";"Menu: Sync";"on";"off"
"041a";"0001";"62";"5";"Menu Item: Messaging > Message Settings > PIX Message Setup";"on";"off"
"041a";"0001";"63";"6";"Block phone numbers absent in phonebook";"on";"off"
"041a";"0001";"64";"1";"Enables Send To OnlineAlbum (PixPlace) in Pictures and Sounds Menus";"on";"off" 
"041a";"0001";"64";"5";"Remove RE: and FW: From Sent Messages Part 1 (unchecked=on)";"on";"off"
"041a";"0001";"64";"6";"Remove RE: and FW: From Sent Messages Part 2 (unchecked=on)";"on";"off"
"041a";"0001";"65";"0";"Menu: Even Lighting (Ring Styles)";"on";"off"
